,b'CALLS',b'\xc2\xa0',b'PUTS',b'Chart',b'OI',b'Chng in OI',b'Volume',b'IV',b'LTP',b'Net Chng',b'BidQty',b'BidPrice',b'AskPrice',b'AskQty',b'Strike Price',b'BidQty',b'BidPrice',b'AskPrice',b'AskQty',b'Net Chng',b'LTP',b'IV',b'Volume',b'Chng in OI',b'OI',b'Chart'
76,b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'2.00',b'6000',b'13050.00',b'7350',b'1812.10',b'2451.65',b'7350',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
77,b'-',b'-',b'-',b'-',b'-',b'-',b'2100',b'0.10',b'0.90',b'1500',b'13100.00',b'75',b'2130.10',b'2471.55',b'75',b'-',b'1315.70',b'-',b'-',b'-',b'75',,,,,
78,b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'2.00',b'6000',b'13150.00',b'7350',b'1912.10',b'2557.90',b'7350',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
79,b'150',b'-',b'-',b'-',b'1.00',b'-',b'75',b'0.15',b'0.90',b'1500',b'13200.00',b'75',b'2223.80',b'2491.35',b'75',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
80,b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'2.00',b'6000',b'13250.00',b'7350',b'2229.45',b'2663.95',b'7350',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
81,b'525',b'-',b'-',b'-',b'0.30',b'-',b'300',b'0.15',b'0.90',b'1500',b'13300.00',b'75',b'2330.95',b'2586.00',b'75',b'-',b'2304.95',b'-',b'-',b'-',b'825',,,,,
82,b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'2.00',b'6000',b'13350.00',b'7350',b'2156.10',b'2765.90',b'7350',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
83,b'24300',b'-2775',b'53',b'52.78',b'0.20',b'-0.25',b'3150',b'0.20',b'0.50',b'150',b'13400.00',b'150',b'2493.05',b'2600.20',b'150',b'-117.15',b'2542.85',b'-',b'141',b'-6525',b'26400',,,,,
84,b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'2.20',b'6000',b'13450.00',b'7350',b'2256.10',b'2873.20',b'7350',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
85,b'52800',b'3225',b'768',b'56.33',b'0.30',b'-0.05',b'750',b'0.30',b'0.45',b'150',b'13500.00',b'1125',b'2628.05',b'2642.50',b'75',b'-113.60',b'2640.00',b'-',b'808',b'-31125',b'216300',,,,,
86,b'600',b'-',b'-',b'-',b'0.30',b'-',b'75',b'0.25',b'2.25',b'75',b'13550.00',b'375',b'2571.60',b'2838.05',b'7350',b'-',b'2536.80',b'-',b'-',b'-',b'300',,,,,
87,b'1650',b'-150',b'5',b'62.63',b'0.70',b'-0.10',b'375',b'0.20',b'0.45',b'225',b'13600.00',b'75',b'2676.05',b'2759.95',b'75',b'-44.30',b'2810.00',b'121.54',b'1',b'75',b'6900',,,,,
